Date,EUA,TTF,SPRD GER,SPRD FR,SPRD IR
2019-06-06,25.09,10.93,35.06,18.88,37.62
2019-06-07,25.66,10.63,41.66,36.7,57.94
2019-06-08,25.89,10.59,117.32,30.22,
2019-06-09,26.13,10.59,36.95,16.39,22.27
2019-06-10,26.36,10.69,13.7,12.7,27.23
2019-06-11,26.11,11.44,26.93,24.39,22.02
2019-06-12,25.92,11.25,29.74,23.64,26.3
2019-06-13,26.05,10.92,48.08,27.29,20.3
2019-06-14,26.15,11.39,31.67,31.44,108.71
2019-06-15,26.14,10.87,16.66,15.0,26.9
2019-06-16,26.13,10.87,28.5,17.39,13.8
2019-06-17,26.12,11.02,35.34,11.73,27.41
2019-06-18,26.22,11.36,31.06,25.97,5.65
2019-06-19,26.07,11.27,25.36,25.67,94.87
2019-06-20,26.2,10.53,18.42,19.35,41.51
2019-06-21,26.42,10.13,17.69,29.18,21.95
2019-06-22,26.79,9.74,9.46,19.0,22.47
2019-06-23,27.16,9.74,41.69,24.9,18.2
2019-06-24,27.53,9.83,26.88,19.74,32.17
2019-06-25,27.64,10.11,41.0,19.84,39.01
2019-06-26,28.65,9.55,29.21,22.85,32.06
2019-06-27,28.15,9.24,23.2,27.46,24.21
2019-06-28,27.5,9.2,32.64,27.14,32.97
2019-06-29,27.72,8.94,31.17,10.97,19.55
2019-06-30,27.95,8.94,77.91,43.06,28.94
2019-07-01,28.17,9.17,28.16,24.86,24.55
2019-07-02,27.98,10.0,21.44,14.04,46.14
2019-07-03,27.78,10.48,20.23,22.94,53.54
2019-07-04,27.28,10.32,16.25,23.96,38.79
2019-07-05,27.67,10.4,18.28,15.76,31.87
2019-07-06,27.83,10.24,5.83,6.6,22.97
2019-07-07,28.0,10.24,30.25,25.42,15.39
2019-07-08,28.16,10.44,9.95,18.61,49.94
2019-07-09,27.9,11.33,14.63,23.11,63.34
2019-07-10,29.65,12.14,16.53,22.31,29.16
2019-07-11,29.71,11.6,15.85,24.98,30.73
2019-07-12,30.26,12.6,21.07,26.93,22.92
2019-07-13,30.36,12.39,4.47,6.08,22.16
2019-07-14,30.46,12.39,7.87,12.71,24.35
2019-07-15,30.56,12.59,15.13,24.08,64.32
2019-07-16,29.98,13.68,16.01,16.01,55.0
2019-07-17,29.98,11.89,17.52,13.7,24.12
2019-07-18,29.28,11.13,15.58,21.07,23.56
2019-07-19,30.38,10.97,15.82,19.68,36.26
2019-07-20,30.42,10.72,10.59,8.66,26.39
2019-07-21,30.46,10.72,36.87,29.64,5.12
2019-07-22,30.5,10.85,15.94,25.23,18.64
2019-07-23,31.33,10.63,23.24,18.68,22.65
2019-07-24,30.7,10.45,29.98,22.41,32.51
2019-07-25,30.51,10.34,23.89,21.8,25.81
2019-07-26,29.75,10.26,19.52,19.7,26.11
2019-07-27,29.78,9.92,6.2,5.88,47.63
2019-07-28,29.82,9.92,15.86,13.57,21.45
2019-07-29,29.85,10.05,24.94,19.3,98.53
2019-07-30,29.29,9.97,18.16,24.98,21.81
2019-07-31,29.38,9.64,26.78,20.81,81.01
2019-08-01,30.83,10.28,28.84,11.0,45.38
2019-08-02,30.61,10.96,10.07,20.9,45.74
2019-08-03,30.42,11.08,10.98,10.98,19.15
2019-08-04,30.23,11.08,18.71,18.71,16.9
2019-08-05,30.04,11.1,21.12,23.59,15.13
2019-08-06,29.7,10.45,15.0,13.38,18.56
2019-08-07,29.56,9.72,3.49,19.25,19.01
2019-08-08,29.78,9.64,15.26,15.26,77.5
2019-08-09,29.36,9.65,20.9,20.0,23.64
2019-08-10,28.88,9.99,81.45,27.48,35.87
2019-08-11,28.39,9.99,84.46,28.23,25.25
2019-08-12,27.91,10.2,35.32,16.17,27.84
2019-08-13,28.3,10.54,20.6,18.12,63.55
2019-08-14,28.12,10.7,37.93,12.97,9.46
2019-08-15,27.2,10.2,13.23,20.68,25.01
2019-08-16,27.15,9.71,29.2,10.25,18.41
2019-08-17,27.34,9.59,16.71,18.11,27.41
2019-08-18,27.54,9.59,28.44,24.99,45.73
2019-08-19,27.73,9.67,24.91,21.19,31.04
2019-08-20,27.42,9.67,19.64,16.9,15.36
2019-08-21,27.17,9.91,35.88,19.35,19.9
2019-08-22,26.81,10.24,24.22,18.23,23.67
2019-08-23,26.24,10.27,28.75,15.71,23.73
2019-08-24,26.48,10.15,15.56,15.56,20.32
2019-08-25,26.73,10.15,22.12,13.71,65.45
2019-08-26,26.97,10.15,37.26,19.95,44.99
2019-08-27,26.53,10.23,22.09,14.65,36.9
2019-08-28,27.11,10.06,35.28,20.7,85.32
2019-08-29,27.55,10.15,25.09,23.06,21.73
2019-08-30,27.37,10.03,19.03,26.0,18.2
2019-08-31,26.99,9.65,19.18,17.63,26.3
2019-09-01,26.6,9.65,12.47,12.47,43.95
2019-09-02,26.22,9.85,25.68,24.55,31.17
2019-09-03,26.21,8.19,23.54,19.21,24.48
2019-09-04,26.47,7.57,17.02,25.93,20.4
2019-09-05,26.48,7.6,16.5,20.44,17.35
2019-09-06,26.05,7.58,14.71,18.35,24.37
2019-09-07,26.02,8.29,14.62,11.15,24.09
2019-09-08,26.0,8.29,22.14,20.98,22.23
2019-09-09,25.97,8.45,39.27,20.35,23.49
2019-09-10,27.69,9.49,20.55,18.37,69.11
2019-09-11,27.27,9.89,14.63,25.9,27.41
2019-09-12,27.42,10.42,28.66,26.66,27.28
2019-09-13,27.38,10.8,19.48,19.48,104.04
2019-09-14,27.61,11.32,22.83,19.97,19.73
2019-09-15,27.84,11.32,56.35,37.27,28.87
2019-09-16,28.07,11.51,29.26,29.26,49.67
2019-09-17,27.24,11.41,21.61,21.59,11.6
2019-09-18,26.47,10.59,27.08,24.48,64.52
2019-09-19,26.98,9.33,35.47,26.38,34.9
2019-09-20,27.59,9.38,25.69,39.89,33.49
2019-09-21,27.34,8.77,15.53,20.72,60.4
2019-09-22,27.09,8.77,16.07,16.07,29.1
2019-09-23,26.84,8.82,22.76,27.57,26.45
2019-09-24,26.58,9.4,29.95,30.29,19.69
2019-09-25,26.26,10.34,29.08,33.35,27.43
2019-09-26,26.69,10.37,19.96,31.33,17.82
2019-09-27,26.34,10.32,22.41,32.36,29.58
2019-09-28,26.15,9.97,46.46,30.06,30.74
2019-09-29,25.95,9.97,40.77,29.41,32.98
2019-09-30,25.76,10.05,82.62,41.69,29.94
2019-10-01,26.05,9.66,20.92,35.31,22.89
2019-10-02,25.2,9.45,20.76,37.32,50.02
2019-10-03,24.17,9.96,24.62,25.1,24.0
2019-10-04,23.91,11.23,17.47,38.35,13.4
2019-10-05,24.06,12.15,16.85,16.85,25.15
2019-10-06,24.2,12.15,14.43,16.94,30.83
2019-10-07,24.35,12.28,32.8,34.95,18.0
2019-10-08,23.5,10.54,25.17,30.14,24.06
2019-10-09,23.6,10.28,27.62,28.97,32.86
2019-10-10,24.18,8.98,29.48,29.75,33.17
2019-10-11,25.36,8.38,28.27,30.48,24.52
