DateTime,Wind,Solar
02.01.2023 10:00 - 02.01.2023 10:15 (CET/CEST),29270,4299
02.01.2023 10:15 - 02.01.2023 10:30 (CET/CEST),28964,4965
02.01.2023 10:30 - 02.01.2023 10:45 (CET/CEST),28190,5541
02.01.2023 10:45 - 02.01.2023 11:00 (CET/CEST),27658,6051
02.01.2023 11:00 - 02.01.2023 11:15 (CET/CEST),27434,6594
02.01.2023 11:15 - 02.01.2023 11:30 (CET/CEST),27443,6894
02.01.2023 11:30 - 02.01.2023 11:45 (CET/CEST),27147,7088
02.01.2023 11:45 - 02.01.2023 12:00 (CET/CEST),27008,7312
02.01.2023 12:00 - 02.01.2023 12:15 (CET/CEST),27054,7389
02.01.2023 12:15 - 02.01.2023 12:30 (CET/CEST),26893,7296
02.01.2023 12:30 - 02.01.2023 12:45 (CET/CEST),26716,7210
02.01.2023 12:45 - 02.01.2023 13:00 (CET/CEST),26465,6947
02.01.2023 13:00 - 02.01.2023 13:15 (CET/CEST),26406,6514
02.01.2023 13:15 - 02.01.2023 13:30 (CET/CEST),25876,5948
02.01.2023 13:30 - 02.01.2023 13:45 (CET/CEST),25435,5388
02.01.2023 13:45 - 02.01.2023 14:00 (CET/CEST),25331,4845
02.01.2023 14:00 - 02.01.2023 14:15 (CET/CEST),25200,4195
02.01.2023 14:15 - 02.01.2023 14:30 (CET/CEST),25081,3574
02.01.2023 14:30 - 02.01.2023 14:45 (CET/CEST),24707,2879
02.01.2023 14:45 - 02.01.2023 15:00 (CET/CEST),24198,2227
02.01.2023 15:00 - 02.01.2023 15:15 (CET/CEST),23783,1660
02.01.2023 15:15 - 02.01.2023 15:30 (CET/CEST),23418,1152
02.01.2023 15:30 - 02.01.2023 15:45 (CET/CEST),23360,711
02.01.2023 15:45 - 02.01.2023 16:00 (CET/CEST),23541,373
02.01.2023 16:00 - 02.01.2023 16:15 (CET/CEST),23368,149
02.01.2023 16:15 - 02.01.2023 16:30 (CET/CEST),22756,36
02.01.2023 16:30 - 02.01.2023 16:45 (CET/CEST),22540,6
02.01.2023 16:45 - 02.01.2023 17:00 (CET/CEST),22309,4
02.01.2023 17:00 - 02.01.2023 17:15 (CET/CEST),22357,2
02.01.2023 17:15 - 02.01.2023 17:30 (CET/CEST),22480,6
02.01.2023 17:30 - 02.01.2023 17:45 (CET/CEST),22901,6
02.01.2023 17:45 - 02.01.2023 18:00 (CET/CEST),23427,2
02.01.2023 18:00 - 02.01.2023 18:15 (CET/CEST),23453,3
02.01.2023 18:15 - 02.01.2023 18:30 (CET/CEST),23451,2
02.01.2023 18:30 - 02.01.2023 18:45 (CET/CEST),23363,2
02.01.2023 18:45 - 02.01.2023 19:00 (CET/CEST),23427,2
02.01.2023 19:00 - 02.01.2023 19:15 (CET/CEST),23424,2
02.01.2023 19:15 - 02.01.2023 19:30 (CET/CEST),23108,1
02.01.2023 19:30 - 02.01.2023 19:45 (CET/CEST),22953,2
02.01.2023 19:45 - 02.01.2023 20:00 (CET/CEST),22697,2
02.01.2023 20:00 - 02.01.2023 20:15 (CET/CEST),22505,2
02.01.2023 20:15 - 02.01.2023 20:30 (CET/CEST),22356,2
02.01.2023 20:30 - 02.01.2023 20:45 (CET/CEST),22259,2
02.01.2023 20:45 - 02.01.2023 21:00 (CET/CEST),22236,2
02.01.2023 21:00 - 02.01.2023 21:15 (CET/CEST),21867,2
02.01.2023 21:15 - 02.01.2023 21:30 (CET/CEST),21624,2
02.01.2023 21:30 - 02.01.2023 21:45 (CET/CEST),21302,2
